"LABNR","C14AGE","C14STD","MATERIAL","COUNTRY","REGION","SITE","LAT","LONG","CLASS","LITHICS","POTTERY","IRON","SOURCES"
"Gif-8151",2210,40,"Shell_Anadara senilis","GAB","B","Oveng 1",0.48,9.52,"IIIb unreliable dates on shells (biased due to old-carbon age offsets)","-","Oveng","object; tuyère","Clist 2004/2005: 618 Tab. 7-10, Annex 2"
"Beta-54222",0,0,"Shell_Anadara senilis","GAB","B","Remboue 15",-0.19,9.95,"IIIb unreliable dates on shells (biased due to old-carbon age offsets)","-","indet","-","Clist 2004/2005: Annex 2"
"Gif-9379",290,50,"Shell_Anadara senilis","GAB","B","Riviere Denis 1",0.32,9.35,"IIIb unreliable dates on shells (biased due to old-carbon age offsets)","(indet)","indet","-","Clist 2004/2005: Annex 2"
"Bon-599",1640,520,"Sediment_wet","GAB","B","Bras mort Ogooue",0.67,12.83,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Clist 2004/2005: Annex 2"
"Gif-11584",520,110,"Sediment_wet","GAB","B","Kamalete",-0.7,11.77,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Ngomanda et al. 2005"
"Gif-11585",1410,70,"Sediment_wet","GAB","B","Kamalete",-0.7,11.77,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Ngomanda et al. 2005"
"Gif-11783",1430,40,"Sediment_wet","GAB","B","Kamalete",-0.7,11.77,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Ngomanda et al. 2005"
"Gif-11789",1255,75,"Sediment_wet","GAB","B","Kamalete",-0.7,11.77,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Ngomanda et al. 2005"
"Gif-11790",160,45,"Sediment_wet","GAB","B","Kamalete",-0.7,11.77,"IIIc unreliable dates on bulk organic matter (from sediment cores)","-","-","-","Ngomanda et al. 2005"
"Tx-7014",1820,60,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-7016",2060,60,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-7727",1640,70,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Carinated Broadly Grooved","-","Denbow 2012: 387 Tab. 1"
"Tx-7728",1940,50,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-7729",1930,50,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-7730",1930,50,"-","COG","C","BP 113",-4.36,11.59,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Poz-80293",1700,30,"Charcoal_endocarp_elaeis","COD","C","Bu 3",-5.45,13.78,"Ia relevant dates, strong archaeological context","-","Kay Ladio","object","Clist 2018: 237 Tab. 18.1, 239 Tab. 18.3; Clist et al. 2019: 15"
"Tx-7019",810,70,"-","COG","C","Conda",-4.5,11.94,"Ia relevant dates, strong archaeological context","-","Woven I","-","Denbow 2012: 387 Tab. 1"
"Hv-6257",2035,130,"Charcoal","COD","C","Dimba",-5.28,14.87,"Ia relevant dates, strong archaeological context","(indet)","Ngovo","-","de Maret 1986; de Maret 1990: 450 Tab. 1; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
"GrN-7218",220,30,"Charcoal (scattered sample)","COD","C","Gombe-Point",-4.3,15.28,"Ia relevant dates, strong archaeological context","-","Dimba/Mbafu/Group II; Group X","slag","van Noten 1982; Cahen et al. 1983: 444 Tab. 1B; Pincon 1991a: 249 Tab. 1; Clist 2012b: 199 Fig. 13.b; Cranshof et al. 2018: 181; Clist 2018: 235, 238 Tab. 18.2"
"OxTL-209a",1610,110,"Pottery","COD","C","Gombe-Point",-4.3,15.28,"Ia relevant dates, strong archaeological context","-","Gombe","slag","Cahen 1981: 131; Cahen et al. 1983: 444 Tab. 1C; Pincon 1991a: 249 Tab. 1; Clist 2018: 235, 239 Tab. 18.2"
"OxTL-209c",1600,100,"Pottery","COD","C","Gombe-Point",-4.3,15.28,"Ia relevant dates, strong archaeological context","-","Gombe","slag","Cahen 1981: 131; Cahen et al. 1983: 444 Tab. 1C; Pincon 1991a: 249 Tab. 1; Clist 2018: 235, 239 Tab. 18.2"
"OxTL-209d",1645,110,"Pottery","COD","C","Gombe-Point",-4.3,15.28,"Ia relevant dates, strong archaeological context","-","Gombe","slag","Cahen 1981: 131; Cahen et al. 1983: 444 Tab. 1C; Pincon 1991a: 249 Tab. 1; Clist 2018: 235, 239 Tab. 18.2"
"Tx-7018",2250,60,"-","COG","C","Gray Sands",-4.39,11.66,"Ia relevant dates, strong archaeological context","-","Herringbone","slag","Denbow 2012: 387 Tab. 1"
"Lv-168",1540,100,"Charcoal","COD","C","Île des Mimosas",-4.33,15.23,"Ia relevant dates, strong archaeological context","-","Gombe","-","Gilot et al. 1965: 122; Eggert 1984; de Maret 1990: 450 Tab. 1; Pincon 1991a: 249 Tab. 1; Clist 2018: 239 Tab. 18.2, 239 Tab. 18.3"
"Hv-6260",425,65,"Charcoal","COD","C","Kamuna",-4.33,15.33,"Ia relevant dates, strong archaeological context","-","Dimba/Mbafu/Group II; Misenga/Mbafu/Group II; Kongo C/Group III","-","van Noten 1982; Clist 2012b: 199 Fig. 13.a; Clist 2018: 238 Tab. 18.2"
"Tx-6689",1550,80,"-","COG","C","Kayes",-4.42,11.7,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-6691",1720,70,"-","COG","C","Kayes",-4.42,11.7,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Tx-6692",1440,60,"-","COG","C","Kayes",-4.42,11.7,"Ia relevant dates, strong archaeological context","-","Herringbone","-","Denbow 2012: 387 Tab. 1"
"Poz-70550",395,30,"-","COG","C","Kindangakanzi",-4.43,13.63,"Ia relevant dates, strong archaeological context","-","Kindangakanzi","-","Nikis 2018: II 35"
"Beta-333283",340,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo D","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3, 274 Tab. 19.6"
"Beta-333284",310,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo D","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3, 274 Tab. 19.6"
"Beta-382528",370,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo D","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3, 274 Tab. 19.6"
"Poz-59445",320,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo B/Group V","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 261, 274 Tab. 19.6"
"Poz-59446",305,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo D","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3, 274 Tab. 19.6"
"Poz-59486",680,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kindoki","-","Clist 2018: 237 Tab. 18.1, 239 Tab. 18.3; Clist et al. 2018: 245, 254 Tab. 19.2"
"Poz-59632",320,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo C/Group III","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 261"
"Poz-75421",190,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo C/Group III","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 261"
"Poz-75422",335,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo B/Group V; Kongo C/Group III; Kongo D","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 258 Tab. 19.3, 261, 274 Tab. 19.6"
"Poz-75423",565,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kindoki","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 245, 254 Tab. 19.2"
"Poz-80290",385,30,"Charcoal_wood","COD","C","Kindoki",-5.07,15.01,"Ia relevant dates, strong archaeological context","-","Kongo C/Group III","-","Clist 2018: 237 Tab. 18.1; Clist et al. 2018: 261"
"Poz-76920",1750,30,"Charcoal_endocarp_canarium","COD","C","Kindu",-4.95,13.61,"Ia relevant dates, strong archaeological context","-","Kay Ladio","tuyère; slag; object","Clist 2018: 237 Tab. 18.1, 239 Tab. 18.3; Clist et al. 2019: 15"
"Poz-76921",1810,30,"Charcoal_endocarp_canarium","COD","C","Kindu",-4.95,13.61,"Ia relevant dates, strong archaeological context","-","Kay Ladio","tuyère; slag; object","Clist 2018: 237 Tab. 18.1, 239 Tab. 18.3; Clist et al. 2019: 15"
"Beta-471016",370,30,"-","COG","C","Kingoyi",-4.3,14.33,"Ia relevant dates, strong archaeological context","-","Moubiri","-","Nikis 2018: II 35"
"Hv-6262",305,80,"Charcoal","COD","C","Kinshasa-Kingabwa/Ngombela",-4.33,15.34,"Ia relevant dates, strong archaeological context","-","Dimba/Mbafu/Group II; Group X","-","van Noten 1982; Pincon 1991a: 249 Tab. 1; Clist 2012b: 199 Fig. 13.a,b; Cranshof et al. 2018: 181; Clist 2018: 235, 239 Tab. 18.2"
"Poz-69053",1665,30,"Charcoal_wood","COD","C","Kitala",-5.55,14.87,"Ia relevant dates, strong archaeological context","-","Kitala","slag","Clist 2018: 238 Tab. 18.1, 239 Tab. 18.3"
"Poz-75419",1710,30,"Charcoal_wood","COD","C","Kitala",-5.55,14.87,"Ia relevant dates, strong archaeological context","-","Kitala","slag","Clist 2018: 238 Tab. 18.1, 239 Tab. 18.3"
"Poz-75420",1680,30,"Charcoal_wood","COD","C","Kitala",-5.55,14.87,"Ia relevant dates, strong archaeological context","-","Kitala","slag","Clist 2018: 238 Tab. 18.1, 239 Tab. 18.3"
"Poz-70552",70,30,"-","COG","C","Kitchounga",-4.3,14.32,"Ia relevant dates, strong archaeological context","-","Mindouli; Moubiri","-","Nikis 2018: II 35"
"Beta-292440",1340,30,"-","COG","C","Lac Ndembo",-4.35,11.65,"Ia relevant dates, strong archaeological context","-","Spaced Curvilinear","-","Denbow 2012: 387 Tab. 1"
"Beta-292441",1250,30,"-","COG","C","Lac Ndembo",-4.35,11.65,"Ia relevant dates, strong archaeological context","-","Spaced Curvilinear","-","Denbow 2012: 387 Tab. 1"
"Beta-292442",1610,40,"-","COG","C","Lac Ndembo",-4.35,11.65,"Ia relevant dates, strong archaeological context","-","Carinated Broadly Grooved","-","Denbow 2012: 387 Tab. 1"
"Tx-7015",2220,80,"-","COG","C","Lamba",-4.37,11.61,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","slag","Denbow 2012: 387 Tab. 1"
"Tx-7020",2790,70,"-","COG","C","Lamba",-4.37,11.61,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 1","-","Denbow 2012: 387 Tab. 1"
"Tx-7017",420,50,"-","COG","C","Loubanzi",-4.5,11.87,"Ia relevant dates, strong archaeological context","-","Woven I; (Woven II)","slag","Denbow 2012: 387 Tab. 1; Cranshof et al. 2018: 188"
"Hv-6259",230,95,"Charcoal","COD","C","Lovo",-5.73,14.46,"Ia relevant dates, strong archaeological context","-","Dimba/Mbafu/Group II","-","van Noten 1982; Clist 2012b: 199 Fig. 13.a; Cranshof et al. 2018: 181; Clist 2018: 238 Tab. 18.2"
"Tx-5957",1720,80,"Charcoal_endocarp_elaeis","COG","C","Madingo-Kayes",-4.43,11.7,"Ia relevant dates, strong archaeological context","-","Herringbone; (Spaced Curvilinear)","-","Denbow 2012: 387 Tab. 1; Denbow 2012: 387 Tab. 1; Denbow 2014: 66"
"Tx-5958",1810,60,"Charcoal_endocarp_elaeis","COG","C","Madingo-Kayes",-4.43,11.7,"Ia relevant dates, strong archaeological context","-","Herringbone; (Spaced Curvilinear)","-","de Maret 1990: 450 Tab. 1; Denbow 2012: 387 Tab. 1; Denbow 2014: 66"
"Poz-59484",605,30,"-","COG","C","Makuti 1",-4.29,14.33,"Ia relevant dates, strong archaeological context","-","Misenga/Mbafu/Group II","-","Nikis 2018: 166 Abb. 5.12; Nikis 2018: II 105; Clist 2018: 254 Tab. 19.2; Cranshof et al. 2018: 184"
"Poz-70551",645,30,"-","COG","C","Makuti 3",-4.29,14.33,"Ia relevant dates, strong archaeological context","-","Misenga/Mbafu/Group II","-","Nikis 2018: I 166 Abb. 5.12; Nikis 2018: II 105; Clist 2018: 254 Tab. 19.2; Cranshof et al. 2018: 184"
"Beta-471017",820,30,"-","COG","C","Mamfulu b",-4.3,14.33,"Ia relevant dates, strong archaeological context","-","indet","-","Nikis 2018: I 141 Fig. 4.25, II 35"
"Tx-6189",1740,70,"-","COG","C","Meningue",-4.27,11.77,"Ia relevant dates, strong archaeological context","-","Herringbone","slag","Denbow 2012: 387 Tab. 1"
"Poz-69049",680,30,"Charcoal","COD","C","Misenga",-4.37,14.31,"Ia relevant dates, strong archaeological context","-","Misenga/Mbafu/Group II","-","Clist 2018: 238 Tab. 18.1, 254 Tab. 19.2; Nikis 2018: I 166 Abb. 5.12; Cranshof et al. 2018: 184"
"Poz-69050",535,30,"Charcoal","COD","C","Misenga",-4.37,14.31,"Ia relevant dates, strong archaeological context","-","Misenga/Mbafu/Group II","-","Clist 2018: 238 Tab. 18.1, 254 Tab. 19.2; Nikis 2018: I 166 Abb. 5.12; Cranshof et al. 2018: 184"
"Tx-7359",2270,60,"-","COG","C","Mvindou",-4.47,11.95,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","slag","Denbow 2012: 387 Tab. 1"
"Tx-7360",2190,70,"-","COG","C","Mvindou",-4.47,11.95,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","-","Denbow 2012: 387 Tab. 1"
"Tx-7361",2250,60,"-","COG","C","Mvindou",-4.47,11.95,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","-","Denbow 2012: 387 Tab. 1"
"Tx-7365",2220,60,"-","COG","C","Mvindou",-4.47,11.95,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","slag","Denbow 2012: 387 Tab. 1"
"Tx-7366",2200,70,"-","COG","C","Mvindou",-4.47,11.95,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","-","Denbow 2012: 387 Tab. 1"
"Beta-451398",320,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo C/Group III","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 261"
"Beta-451399",160,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo B/Group V","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 258, 261"
"Poz-60771",315,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo C/Group III","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 261"
"Poz-60772",310,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo B/Group V; Kongo C/Group III; Kongo D","-","Clist 2018: 238 Tab. 18.1, Clist et al. 2018: 261, 274 Tab. 19.6"
"Poz-60774",200,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo B/Group V; Kongo D","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 258, 261, 274 Tab. 19.6"
"Poz-69044",235,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo B/Group V; Kongo D","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 258, 261, 274 Tab. 19.6"
"Poz-69045",210,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo A/Group IV; Kongo B/Group V; Kongo D","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 258, 261, 274 Tab. 19.6"
"Poz-69046",180,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo B/Group V; Kongo D","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 261, 274 Tab. 19.6"
"Poz-80294",310,30,"Charcoal_wood","COD","C","Ngongo Mbata",-5.78,15.12,"Ia relevant dates, strong archaeological context","-","Kongo B/Group V; Kongo C/Group III","-","Clist 2018: 238 Tab. 18.1; Clist et al. 2018: 261"
"Hv-5258",2145,45,"Charcoal","COD","C","Ngovo",-5.31,14.92,"Ia relevant dates, strong archaeological context","(indet)","Ngovo","-","de Maret 1986; de Maret 1990: 450 Tab. 1; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
"Hv-6258",2035,65,"Charcoal","COD","C","Ngovo",-5.31,14.92,"Ia relevant dates, strong archaeological context","(indet)","Ngovo","-","de Maret 1986; de Maret 1990: 450 Tab. 1; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
"Poz-59435",610,30,"-","COG","C","Nkabi",-4.25,14.4,"Ia relevant dates, strong archaeological context","-","Misenga/Mbafu/Group II","-","Nikis 2018: 166 Abb. 5.12; Nikis 2018: II 105; Clist 2018: 254 Tab. 19.2; Cranshof et al. 2018: 184"
"Hv-6250",2155,60,"Charcoal","COD","C","Ntadi Ntadi",-5.75,14.58,"Ia relevant dates, strong archaeological context","(indet)","Ngovo","-","de Maret 1986; de Maret 1990: 450 Tab. 1; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
"Gif-4219",370,80,"Charcoal","COG","C","Ntadi Yomba",-4.25,13.77,"Ia relevant dates, strong archaeological context","-","Mbafu/Group II","-","Delibrias/Guilier 1988: 82; Kouyoumontzakis u.a. 1985; Pincon 1991a: 249 Tab. 1; Clist 2012a: 179 Tab. 1"
"Gif-4220",270,80,"Charcoal","COG","C","Ntadi Yomba",-4.25,13.77,"Ia relevant dates, strong archaeological context","-","Mbafu/Group II","-","Delibrias/Guilier 1988: 82; Kouyoumontzakis u.a. 1985; Pincon 1991a: 249 Tab. 1; Clist 2012a: 179 Tab. 1"
"Gif-4221",300,80,"Charcoal","COG","C","Ntadi Yomba",-4.25,13.77,"Ia relevant dates, strong archaeological context","-","Mbafu/Group II","-","Delibrias/Guilier 1988: 82; Kouyoumontzakis u.a. 1985; Pincon 1991a: 249 Tab. 1; Clist 2012a: 179 Tab. 1"
"Poz-84661",385,30,"-","COG","C","Ntominsié",-4.29,14.33,"Ia relevant dates, strong archaeological context","-","Moubiri","-","Nikis 2018: II 35"
"Lv-1468",1850,50,"Charcoal_endocarp_elaeis","COD","C","Sakuzi",-5.17,14.01,"Ia relevant dates, strong archaeological context","-","Kay Ladio","slag","de Maret 1986: 125; de Maret 1990: 450 Tab. 1; Clist 2018: 239 Tab. 18.2, Tab. 18.3; Clist et al. 2019: 15"
"Lv-1469",1780,50,"Charcoal_endocarp_elaeis","COD","C","Sakuzi",-5.17,14.01,"Ia relevant dates, strong archaeological context","(indet)","Kay Ladio","object; slag","de Maret 1986: 125; de Maret 1990: 450 Tab. 1; Clist 2018: 239 Tab. 18.2, Tab. 18.3; Clist et al. 2019: 15"
"Lv-1470",1900,50,"Charcoal_endocarp_elaeis","COD","C","Sakuzi",-5.17,14.01,"Ia relevant dates, strong archaeological context","-","Ngovo; Kay Ladio","-","Gosselain 1988; de Maret 1990: 450 Tab. 1; Clist 2018: 239 Tab. 18.2, Tab. 18.3; Garcin et al. 2018"
"Lv-1471",2110,55,"Charcoal_endocarp_elaeis","COD","C","Sakuzi",-5.17,14.01,"Ia relevant dates, strong archaeological context","(indet)","Ngovo","-","de Maret 1986; de Maret 1990: 450 Tab. 1; Clist 2018: 239 Tab. 18.2, Tab. 18.3"
"Tx-6183",2110,60,"-","COG","C","Tandou-Youmbi",-4.42,11.69,"Ia relevant dates, strong archaeological context","(polished indet)","Herringbone","-","Denbow 1990; Eggert et al. 2006: 276 Tab. 1; Denbow 2012: 387 Tab. 1"
"Tx-5956",2880,90,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","indet","Ceramic Later Stone Age 1","-","de Maret 1990: 450 Tab. 1; Denbow 2012: 387 Tab. 1"
"Tx-6184",2450,70,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 1","-","Denbow 2012: 387 Tab. 1"
"Tx-6185",2530,60,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 1","-","Denbow 2012: 387 Tab. 1"
"Tx-6186",2250,60,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","(slag); (object)","Denbow 1990; Eggert et al. 2006: 277 Tab. 2; Denbow 2012: 387 Tab. 1"
"Tx-6187",2520,60,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","-","Denbow 2012: 387 Tab. 1"
"Tx-6188",2300,80,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","(slag); (object)","Denbow 1990; Eggert et al. 2006: 277 Tab. 2; Denbow 2012: 387 Tab. 1"
"Tx-6256",2280,70,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","-","Ceramic Later Stone Age 2","(slag); (object)","Denbow 1990; Eggert et al. 2006: 277 Tab. 2; Denbow 2012: 387 Tab. 1"
"Uga-5720",2525,85,"-","COG","C","Tchissanga",-4.54,11.8,"Ia relevant dates, strong archaeological context","indet","Ceramic Later Stone Age 1","-","Denbow 1990; de Maret 1990: 450 Tab. 1"
"Gif-1688",1310,100,"-","COG","C","Biala",-3.87,13.25,"Ib relevant dates, medium archaeological context","-","-","slag","Kouyoumontzakis u.a. 1985; Pincon 1991a: 249 Tab. 1"
"Gif-7435",1540,60,"-","COG","C","Bime (Kibouende)",-4.16,15.18,"Ib relevant dates, medium archaeological context","-","indet","slag; object","Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1"
"Gif-7439",440,50,"-","COG","C","Bime (Kibouende)",-4.16,15.18,"Ib relevant dates, medium archaeological context","-","indet","-","Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1"
"Hv-10834",1870,105,"Charcoal","COD","C","Boma",-5.85,13.07,"Ib relevant dates, medium archaeological context","-","indet","-","de Maret 1985a; de Maret 1990: 450 Tab. 1; Clist 2018: 238 Tab. 18.2, 239 Tab. 18.3"
"Beta-20791",2300,100,"Charcoal","COG","C","Djambala",-2.54,14.75,"Ib relevant dates, medium archaeological context","-","indet","-","Lanfranchi/Pincon 1988: 28f.; Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1"
"Tx-7364",1410,100,"-","COG","C","Fignou 1",-4.52,11.98,"Ib relevant dates, medium archaeological context","-","indet","-","Denbow 2012: 387 Tab. 1"
"Tx-7362",1730,70,"-","COG","C","Fignou 4",-4.52,11.98,"Ib relevant dates, medium archaeological context","-","indet","-","Denbow 2012"
"Tx-7363",1790,70,"-","COG","C","Fignou 4",-4.52,11.98,"Ib relevant dates, medium archaeological context","-","indet","-","Denbow 2012"
"Lv-167",2220,90,"Charcoal","COD","C","Île de la Funa",-4.32,15.35,"Ib relevant dates, medium archaeological context","-","indet","-","Gilot et al. 1965: 121; van Noten 1982;  Pincon 1991a: 249 Tab. 1; Clist 2018: 239 Tab. 18.2, Tab. 18.3"
"Gif-9394",500,50,"-","COG","C","Imbama",-3.45,15.7,"Ib relevant dates, medium archaeological context","-","-","slag","Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8154",860,40,"-","COG","C","Impe",-2.73,15.27,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1"
"Gif-8605",1260,90,"-","COG","C","Ingamfini 1",-3.88,15.67,"Ib relevant dates, medium archaeological context","-","-","slag","Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8161",110,80,"-","COG","C","Ingamfini 2",-3.85,15.65,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991b: 30 Tab. 1; Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8163",410,50,"-","COG","C","Ingolo",-3.47,15.33,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991b: 30 Tab. 1; Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8160",300,90,"-","COG","C","Inoni",-3.03,15.33,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991b: 30 Tab. 1; Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8155",880,50,"-","COG","C","Inoni Falaise",-3.02,15.67,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991b: 30 Tab. 1; Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-8177",880,50,"-","COG","C","Inoni Falaise",-3.02,15.67,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991a: 249 Tab. 1"
"Gif-7437",670,50,"-","COG","C","Itebe",-2.99,14.15,"Ib relevant dates, medium archaeological context","-","-","slag","Pincon 1991a: 249 Tab. 1; Pincon 1991b: 30 Tab. 1"
"Gif-8970",870,40,"-","COG","C","Kankouara 1",-2.32,14.53,"Ib relevant dates, medium archaeological context","-","-","slag","Dupre/Pincon 1997; Garcin et al. 2018"
"Gif-9398",890,40,"-","COG","C","Kankouara 2",-2.32,14.53,"Ib relevant dates, medium archaeological context","-","-","slag","Dupre/Pincon 1997; Garcin et al. 2018"
"Tx-76689",1550,80,"-","COG","C","Kayes",-4.42,11.7,"Ib relevant dates, medium archaeological context","-","indet","-","Denbow 2012; Garcin et al. 2018"
"Poz-80291",645,30,"Charcoal_wood","COD","C","Kazu 4",-5.52,13.73,"Ib relevant dates, medium archaeological context","-","indet","-","Clist 2018: 237 Tab. 18.1, 254 Tab. 19.2"
"Poz-76918",540,30,"Charcoal_wood","COD","C","Kazu 6",-5.52,13.73,"Ib relevant dates, medium archaeological context","-","indet","slag","Clist 2018: 237 Tab. 18.1, 254 Tab. 19.2"
"Poz-76919",610,30,"Charcoal_wood","COD","C","Kazu 6",-5.52,13.73,"Ib relevant dates, medium archaeological context","-","indet","slag","Clist 2018: 237 Tab. 18.1, 254 Tab. 19.2"
"Beta-471018",1010,30,"-","COG","C","Kilodia",-4.29,14.36,"Ib relevant dates, medium archaeological context","-","indet","-","Nikis 2018: II 35"
"Beta-471019",1110,30,"-","COG","C","Kilodia",-4.29,14.36,"Ib relevant dates, medium archaeological context","-","indet","-","Nikis 2018: II 35"
"Poz-84660",960,30,"-","COG","C","Kilodia",-4.29,14.36,"Ib relevant dates, medium archaeological context","-","indet","-","Nikis 2018: II 35"
